Company,Year,Revenue,NetIncome,TotalAssets,TotalLiabilities,Equity,CurrentAssets,CurrentLiabilities
AAPL,2021,365817000000.0,94680000000.0,351002000000.0,287912000000.0,63090000000.0,134836000000.0,125481000000.0
AAPL,2022,394328000000.0,99803000000.0,352755000000.0,302083000000.0,50672000000.0,135405000000.0,153982000000.0
AAPL,2023,383285000000.0,96995000000.0,352583000000.0,290437000000.0,62146000000.0,143566000000.0,145308000000.0
AAPL,2024,391035000000.0,93736000000.0,364980000000.0,308030000000.0,56950000000.0,152987000000.0,176392000000.0
AAPL,2025,416161000000.0,112010000000.0,359241000000.0,285508000000.0,73733000000.0,147957000000.0,165631000000.0
AMZN,2020,386064000000.0,21331000000.0,321195000000.0,227791000000.0,93404000000.0,132733000000.0,126385000000.0
AMZN,2021,469822000000.0,33364000000.0,420549000000.0,282304000000.0,138245000000.0,161580000000.0,142266000000.0
AMZN,2022,513983000000.0,-2722000000.0,462675000000.0,316632000000.0,146043000000.0,146791000000.0,155393000000.0
AMZN,2023,574785000000.0,30425000000.0,527854000000.0,325979000000.0,201875000000.0,172351000000.0,164917000000.0
AMZN,2024,637959000000.0,59248000000.0,624894000000.0,338924000000.0,285970000000.0,190867000000.0,179431000000.0
META,2020,85965000000.0,29146000000.0,159316000000.0,31026000000.0,128290000000.0,75670000000.0,14981000000.0
META,2021,117929000000.0,39370000000.0,165987000000.0,41108000000.0,124879000000.0,66666000000.0,21135000000.0
META,2022,116609000000.0,23200000000.0,185727000000.0,60014000000.0,125713000000.0,59549000000.0,27026000000.0
META,2023,134902000000.0,39098000000.0,229623000000.0,76455000000.0,153168000000.0,85365000000.0,31960000000.0
META,2024,164501000000.0,62360000000.0,276054000000.0,93417000000.0,182637000000.0,100045000000.0,33596000000.0
NVDA,2021,16675000000.0,4332000000.0,28791000000.0,11898000000.0,16893000000.0,16055000000.0,3925000000.0
NVDA,2022,26914000000.0,9752000000.0,44187000000.0,17575000000.0,26612000000.0,28829000000.0,4335000000.0
NVDA,2023,26974000000.0,4368000000.0,41182000000.0,19081000000.0,22101000000.0,23073000000.0,6563000000.0
NVDA,2024,60922000000.0,29760000000.0,65728000000.0,22750000000.0,42978000000.0,44345000000.0,10631000000.0
NVDA,2025,130497000000.0,72880000000.0,111601000000.0,32274000000.0,79327000000.0,80126000000.0,18047000000.0
TSLA,2020,31536000000.0,721000000.0,52148000000.0,28469000000.0,22225000000.0,26717000000.0,14248000000.0
TSLA,2021,53823000000.0,5644000000.0,62131000000.0,31116000000.0,30189000000.0,27100000000.0,19705000000.0
TSLA,2022,81462000000.0,12587000000.0,82338000000.0,36440000000.0,44704000000.0,40917000000.0,26709000000.0
TSLA,2023,96773000000.0,14974000000.0,106618000000.0,43009000000.0,62634000000.0,49616000000.0,28748000000.0
TSLA,2024,97690000000.0,7130000000.0,122070000000.0,48390000000.0,72913000000.0,58360000000.0,28821000000.0
